Section_2020,public_dataset,research_dataset,Variable_2020,Labels_2020_old,Question_2020,Labels_2020,Response_Type_2020,Response_Options_2020,Constructed_2020,Var_Description_2020,Var_Description_2020_old,Version_Note,baseline2016,Fall_2017_Spring_2018,Fall_2018_Spring_2019,Fall_2019_Spring_2020
K: Ownership of Change,Keep,Keep,ocparksavgpers,New Green Spaces: Community Input,5b. Does the average person in your community have a voice in these changes?,New Green Spaces: Community Input,radio,"0, Yes | 1, No | 2, Don't Know",0,"This variable indicates whether the average person in the respondent's community has a voice in the creation or improvement of public green spaces in the neighborhood like parks, greenways, and community gardens. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the average person in the respondent's community has a voice in the creation or improvement of public green spaces in the neighborhood like parks, greenways, and community gardens. Possible values are: Yes, No, and Don't Know.",,0,0,754,692
K: Ownership of Change,Keep,Keep,ocparks4u,New Green Spaces: Beneficial,5c. Are these changes for you (for your benefit)?,New Green Spaces: Beneficial,radio,"0, Yes | 1, No | 2, Don't Know",0,"This variable indicates whether the creation or improvement of public green spaces like parks, greenways, and community gardens in the neighborhood is for the respondent's benefit. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the creation or improvement of public green spaces like parks, greenwasy, and community gardens in the neighborhood is for the respondent's benefit. Possible values are: Yes, No, and Don't Know.",,0,0,743,686
K: Ownership of Change,Keep,Keep,ocparksinvolved,New Green Spaces: Personal Involvement,5d. Are you personally involved?,New Green Spaces: Personal Involvement,radio,"0, Yes | 1, No | 2, Don't Know",0,"This variable indicates whether the respondent is personally involved in the creation or improvement of public green spaces in the neighborhood like parks, greenways, and community gardens. Possible values are: Yes, No, Don't Know.","This variable indicates whether the respondent is personally involved in the creation or improvement of public green spaces in the neighborhood like parks, greenways, and community gardens. Possible values are: Yes, No, Don't Know.",,0,0,747,685
K: Ownership of Change,Keep,Keep,degreechange,Degree of Neighborhood Change,,Degree of Neighborhood Change,,"0, 1, 2, 3, 4, 5, 6, 7",1,"This variable is constructed. It is based on counting whether housing commercial, amenity, jobs, transit, parks, and police-related changes are happening in a person?s neighborhood. The lower the number, the fewer the changes in the neighborhood, while the higher the number, the greater the changes in the neighborhood.","This variable is constructed. It is based on counting whether housing commercial, amenity, jobs, transit, parks, and police-related changes are happening in a person?s neighborhood. The lower the number, the fewer the changes in the neighborhood, while the higher the number, the greater the changes in the neighborhood.",,340,794,999,738
K: Ownership of Change,Keep,Keep,voteregister,Registered to Vote,8. Are you registered to vote?,Registered to Vote,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether a respondent is registered to vote. Possible values are: Yes, No, and Don?t know.","This variable indicates whether a respondent is registered to vote. Possible values are: Yes, No, and Don?t know.",,343,781,942,754
K: Ownership of Change,Keep,Keep,voted,Voted in 2016 Election,9. Did you vote in the last election (2016 Presidential)?,Voted in 2016 Election,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether a respondent voted in the 2016 Presidential Election. Possible values are: Yes, No, and Don?t know.","This variable indicates whether a respondent voted in the 2016 Presidential Election. Possible values are: Yes, No, and Don?t know.",,335,762,929,746
K: Ownership of Change,Keep,Keep,ocamenityavgpers,New Public Spaces: Community Input,3b. Does the average person in your community have a voice in these changes?,New Public Spaces: Community Input,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the average person in the respondent's community has a voice in the construction or improvement of public spaces like libraries, plazas, and community centers. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the average person in the respondent's community has a voice in the construction or improvement of public spaces like libraries, plazas, and community centers. Possible values are: Yes, No, and Don't Know.",,162,468,728,709
K: Ownership of Change,Keep,Keep,ocjobs4u,New Jobs: Beneficial,4c.  Are these changes for you? (for your benefit),New Jobs: Beneficial,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the creation of new jobs in the neighborhood is for the respondent's benefit. Possible values are: Yes, No, and Don't Know.","This variable indicates whether the creation of new jobs in the neighborhood is for the respondent's benefit. Possible values are: Yes, No, and Don't Know.",,143,419,724,702
K: Ownership of Change,Keep,Keep,ocjobsinvolved,New Jobs: Personal Involvement,"4d. Are you personally involved?
",New Jobs: Personal Involvement,radio,"1, Yes | 0, No | 2, Don't Know",0,"This variable indicates whether the respondent is personally involved in the creation of new jobs in the neighborhood. Possible values are: Yes, No, Don't Know.","This variable indicates whether the respondent is personally involved in the creation of new jobs in the neighborhood. Possible values are: Yes, No, Don't Know.",,141,423,723,700
L: Other Comments,Remove,Keep,comments,,"1. Is there anything else on your mind about the future of your neighborhood that you'd like to share? (Examples: changes that really matter to you; reflections on development processes and how they reflect the community; visions for the future of your neighborhood, etc.) 
",,file,[Document],0,,,,0,0,0,7
L: Other Comments,Remove,Keep,comments_writein,,"Write-in section for optional voice recording. 
FOR DATA ENTRY USE ONLY -- SKIP DURING SURVEY. ",,notes,Comment from respondent,0,,,,0,0,0,169
,Remove,Remove,inc_test,,,,,,NA,,,,0,804,1040,0
,Remove,Remove,duplicate_interviews,,,,,,NA,,,,377,877,1040,822
